dv;1;2;3;4;5;6;7
99;98,51890705729060;70,14111139414050;62,25897596535700;56,63885428237760;51,00829781217680;47,97470034210610;47,98970093658830
100;99,23146024313480;70,71316897679230;62,71812441184720;57,16437288626300;51,53381641606220;48,52682211332390;48,44884938307870
101;100,00000000000000;71,26529074801000;63,20408023694420;57,73833735780630;52,05933501994760;49,02307262818800;48,93124809205850
102;;71,81741251922780;63,81839894364160;58,35265606450380;52,58485362383290;49,48222107467810;49,45676669594370
103;;72,36953429044560;64,43271765033890;58,91720381345830;53,11037222771830;50,06448169401460;50,11403448614230
104;;72,92165606166330;65,04703635703630;59,37635225994830;53,63810774202990;50,72333242056690;50,74574236351590
105;;73,47377783288110;65,58924063739370;59,86676676277000;54,17470716566110;51,20489081000610;51,20489081000600
106;;74,03526119684940;66,04838908388400;60,42738198099140;54,71130658929220;51,66403925649620;51,76817149393610
107;;74,61068663671090;66,53941404530160;61,06566850783100;55,27584232809640;52,30358341131970;52,34359693379770
108;;75,18611207657240;67,06493264918690;61,70395503467060;55,93469305464870;52,92756054533400;52,81248574671490
109;;75,76153751643400;67,61030919819430;62,34224156151030;56,49372855454000;53,38670899182420;53,27163419320500
110;;76,33968193450060;68,16243096941210;62,92479104974800;56,95363860901570;53,84585743831450;53,73078263969520
111;;76,92124394105950;68,70734292248300;63,50021648960960;57,47915721290130;54,30500588480470;54,29917812791340
112;;77,50280594761830;69,23286152636850;64,11093166111680;58,00057618266170;54,81851120024340;54,87460356777500
113;;78,08436795417720;69,72272740379210;64,72525036781430;58,51132887083360;55,35511062387460;55,33837757640430
114;;78,66592996073610;70,18187585028220;65,36996386046120;59,02914483800380;55,89171004750580;55,79752602289460
